feature,dtype,nunique,constant,id_like,date_like,corr_with_will_delay,abs_corr_with_will_delay,corr_with_schedule_slippage_pct,abs_corr_with_schedule_slippage_pct
schedule_slippage_pct,float64,1888,False,False,False,0.632918120884836,0.632918120884836,1.0,1.0
Project Budget Amount,str,4694,False,True,False,0.5225171745688043,0.5225171745688043,0.33678881748167677,0.33678881748167677
Project Building Identifier,str,1383,False,True,False,0.38288414405900734,0.38288414405900734,0.253740826749293,0.253740826749293
Project School Name,str,1596,False,True,False,0.36828839846723593,0.36828839846723593,0.24039504651106886,0.24039504651106886
Project Description,str,1864,False,True,False,0.3137513526765845,0.3137513526765845,0.22796714637640686,0.22796714637640686
Version,str,1,True,False,False,-0.30118358160694414,0.30118358160694414,-0.1907681541012464,0.1907681541012464
ResidFlag,str,1,True,True,False,-0.30118358160694414,0.30118358160694414,-0.1907681541012464,0.1907681541012464
Project Phase Name,str,8,False,True,False,0.2485068188808464,0.2485068188808464,0.16195713212088292,0.16195713212088292
Job_Status,str,6,False,False,False,-0.22359275451148197,0.22359275451148197,-0.14162251747252994,0.14162251747252994
Project Type ,str,18,False,True,False,0.21942021023627473,0.21942021023627473,0.16686105259941028,0.16686105259941028
Job_Type,str,3,False,False,False,-0.21630632657653465,0.21630632657653465,-0.1370073309483332,0.1370073309483332
Project Status Name,str,3,False,True,False,0.19109076708045505,0.19109076708045505,0.12103592336352322,0.12103592336352322
GeomSource,str,6,False,False,False,-0.18397848541260303,0.18397848541260303,-0.11653104020227957,0.11653104020227957
the_geom,str,63853,False,False,False,-0.1810838213373576,0.1810838213373576,-0.11469757464804367,0.11469757464804367
CDTAName20,str,59,False,False,False,-0.1781195728363259,0.1781195728363259,-0.11282003467118931,0.11282003467118931
CDTA2020,str,59,False,False,False,-0.1781195728363259,0.1781195728363259,-0.11282003467118931,0.11282003467118931
FireCmpany,str,348,False,False,False,-0.17689640749682667,0.17689640749682667,-0.11204528794451875,0.11204528794451875
SchSubDist,str,96,False,False,False,-0.174267650836971,0.174267650836971,-0.11038024679949227,0.11038024679949227
NTAName20,str,209,False,False,False,-0.17037138078443087,0.17037138078443087,-0.10791236909567677,0.10791236909567677
