feature_out,importance
num__Final Estimate of Actual Costs Through End of Phase Amount,0.0
num__Total Phase Actual Spending Amount,0.0
num__synthetic_flag,0.0
num__Award,0.0
num__Council_District,0.0
num__BIN,0.0
num__Fatality,0.0
num__Injury,0.0
num__House Number,0.0
num__Block,0.0
num__Lot,0.0
num__Postcode,0.0
num__Latitude,0.0
num__Longitude,0.0
num__Community Board,0.0
num__Council District,0.0
num__BBL,0.0
num__Census Tract (2020),0.0
num__Job_Number,0.0
num__CompltYear,0.0
num__PermitYear,0.0
num__ClassAInit,0.0
num__ClassAProp,0.0
num__ClassANet,0.0
num__HotelInit,0.0
num__HotelProp,0.0
num__OtherBInit,0.0
num__OtherBProp,0.0
num__Units_CO,0.0
num__Boro,0.0
num__FloorsInit,0.0
num__FloorsProp,0.0
num__CenBlock20,0.0
num__CenTract20,0.0
num__BCTCB2020,0.0
num__BCT2020,0.0
num__CommntyDst,0.0
num__CouncilDst,0.0
num__SchCommnty,0.0
num__SchElmntry,0.0
num__FireBattln,0.0
num__FireDivsn,0.0
num__PolicePcnt,0.0
num__hours_used,0.0
num__hourly_cost_estimated,0.0
num__cost_estimated,0.0
num__quantity,0.0
num__unit_price_estimated,0.0
num__total_cost_estimated,0.0
num__will_delay,0.0
cat__ID_AG CN001,0.0
cat__ID_AG CN002,0.0
cat__ID_AG CN003,0.0
cat__ID_AG CN004,0.0
cat__ID_AG CN0584,0.0
cat__ID_AG NC001,0.0
cat__ID_AG NC002,0.0
cat__ID_AG NC003,0.0
cat__ID_AG NC004,0.0
cat__ID_AG NC007,0.0
cat__ID_AG NC008,0.0
cat__ID_AG NC011,0.0
cat__ID_AG NC1273,0.0
cat__ID_AG NC901,0.0
cat__ID_AG TANC1,0.0
cat__ID_BR CN001,0.0
cat__ID_BR CN003,0.0
cat__ID_CO CN001,0.0
cat__ID_CS NC001,0.0
cat__ID_CS NC0228,0.0
cat__ID_CS NC1111,0.0
cat__ID_CS NC1126,0.0
cat__ID_CS TA001,0.0
cat__ID_E  CN001,0.0
cat__ID_E  CN004,0.0
cat__ID_E  CN007,0.0
cat__ID_E  CN008,0.0
cat__ID_E  CN009,0.0
cat__ID_E  CN010,0.0
cat__ID_E  CN011,0.0
cat__ID_E  CN012,0.0
cat__ID_E  CN013,0.0
cat__ID_E  CN014,0.0
cat__ID_E  CN015,0.0
cat__ID_E  CN016,0.0
cat__ID_E  CN019,0.0
cat__ID_E  CN020,0.0
cat__ID_E  CN021,0.0
cat__ID_E  CN022,0.0
cat__ID_E  CN023,0.0
cat__ID_E  CN026,0.0
cat__ID_E  CN027,0.0
cat__ID_E  CN028,0.0
cat__ID_E  CN029,0.0
cat__ID_E  CN030,0.0
cat__ID_E  CN032,0.0
cat__ID_E  CN033,0.0
cat__ID_E  CN035,0.0
cat__ID_E  CN037,0.0
cat__ID_E  CN038,0.0
cat__ID_E  CN039,0.0
cat__ID_E  CN040,0.0
cat__ID_E  CN041,0.0
cat__ID_E  CN042,0.0
cat__ID_E  CN044,0.0
cat__ID_E  CN045,0.0
cat__ID_E  CN046,0.0
cat__ID_E  CN047,0.0
cat__ID_E  CN048,0.0
cat__ID_E  CN050,0.0
cat__ID_E  CN051,0.0
cat__ID_E  CN052,0.0
cat__ID_E  CN054,0.0
cat__ID_E  CN055,0.0
cat__ID_E  CN056,0.0
cat__ID_E  CN057,0.0
cat__ID_E  CN058,0.0
cat__ID_E  CN059,0.0
cat__ID_E  CN060,0.0
cat__ID_E  CN062,0.0
cat__ID_E  CN063,0.0
cat__ID_E  CN064,0.0
cat__ID_E  CN065,0.0
cat__ID_E  CN067,0.0
cat__ID_E  CN068,0.0
cat__ID_E  CN069,0.0
cat__ID_E  CN070,0.0
cat__ID_E  CN071,0.0
cat__ID_E  CN072,0.0
cat__ID_E  CN073,0.0
cat__ID_E  CN074,0.0
cat__ID_E  CN076,0.0
cat__ID_E  CN077,0.0
cat__ID_E  CN078,0.0
cat__ID_E  CN079,0.0
cat__ID_E  CN080,0.0
cat__ID_E  CN083,0.0
cat__ID_E  CN084,0.0
cat__ID_E  CN085,0.0
cat__ID_E  CN086,0.0
cat__ID_E  CN087,0.0
cat__ID_E  CN088,0.0
cat__ID_E  CN089,0.0
cat__ID_E  CN090,0.0
cat__ID_E  CN091,0.0
cat__ID_E  CN092,0.0
cat__ID_E  CN094,0.0
cat__ID_E  CN095,0.0
cat__ID_E  CN096,0.0
cat__ID_E  CN098,0.0
cat__ID_E  CN099,0.0
cat__ID_E  CN100,0.0
cat__ID_E  CN101,0.0
cat__ID_E  CN102,0.0
cat__ID_E  CN103,0.0
cat__ID_E  CN104,0.0
cat__ID_E  CN105,0.0
cat__ID_E  CN106,0.0
cat__ID_E  CN108,0.0
cat__ID_E  CN109,0.0
cat__ID_E  CN110,0.0
cat__ID_E  CN111,0.0
cat__ID_E  CN113,0.0
cat__ID_E  CN114,0.0
cat__ID_E  CN115,0.0
cat__ID_E  CN116,0.0
cat__ID_E  CN118,0.0
cat__ID_E  CN119,0.0
cat__ID_E  CN120,0.0
cat__ID_E  CN121,0.0
cat__ID_E  CN123,0.0
cat__ID_E  CN124,0.0
cat__ID_E  CN126,0.0
cat__ID_E  CN127,0.0
cat__ID_E  CN128,0.0
cat__ID_E  CN131,0.0
cat__ID_E  CN132,0.0
cat__ID_E  CN133,0.0
cat__ID_E  CN134,0.0
cat__ID_E  CN135,0.0
cat__ID_E  CN136,0.0
cat__ID_E  CN137,0.0
cat__ID_E  CN138,0.0
cat__ID_E  CN140,0.0
cat__ID_E  CN141,0.0
cat__ID_E  CN142,0.0
cat__ID_E  CN144,0.0
cat__ID_E  CN145,0.0
cat__ID_E  CN149,0.0
cat__ID_E  CN150,0.0
cat__ID_E  CN153,0.0
cat__ID_E  CN154,0.0
cat__ID_E  CN155,0.0
cat__ID_E  CN158,0.0
cat__ID_E  CN159,0.0
cat__ID_E  CN160,0.0
cat__ID_E  CN162,0.0
cat__ID_E  CN163,0.0
cat__ID_E  CN164,0.0
cat__ID_E  CN166,0.0
cat__ID_E  CN168,0.0
cat__ID_E  CN170,0.0
cat__ID_E  CN171,0.0
cat__ID_E  CN172,0.0
cat__ID_E  CN173,0.0
cat__ID_E  CN174,0.0
cat__ID_E  CN175,0.0
cat__ID_E  CN177,0.0
cat__ID_E  CN178,0.0
cat__ID_E  CN179,0.0
cat__ID_E  CN180,0.0
cat__ID_E  CN181,0.0
cat__ID_E  CN182,0.0
cat__ID_E  CN183,0.0
cat__ID_E  CN185,0.0
cat__ID_E  CN186,0.0
cat__ID_E  CN188,0.0
cat__ID_E  CN189,0.0
cat__ID_E  CN192,0.0
cat__ID_E  CN195,0.0
cat__ID_E  CN196,0.0
cat__ID_E  CN197,0.0
cat__ID_E  CN198,0.0
cat__ID_E  CN199,0.0
cat__ID_E  CN200,0.0
cat__ID_E  CN201,0.0
cat__ID_E  CN203,0.0
cat__ID_E  CN204,0.0
cat__ID_E  CN205,0.0
cat__ID_E  CN206,0.0
cat__ID_E  CN207,0.0
cat__ID_E  CN208,0.0
cat__ID_E  CN209,0.0
cat__ID_E  CN210,0.0
cat__ID_E  CN214,0.0
cat__ID_E  CN215,0.0
cat__ID_E  CN216,0.0
cat__ID_E  CN217,0.0
cat__ID_E  CN218,0.0
cat__ID_E  CN221,0.0
cat__ID_E  CN222,0.0
cat__ID_E  CN223,0.0
cat__ID_E  CN225,0.0
cat__ID_E  CN226,0.0
cat__ID_E  CN228,0.0
cat__ID_E  CN231,0.0
cat__ID_E  CN232,0.0
cat__ID_E  CN233,0.0
cat__ID_E  CN234,0.0
cat__ID_E  CN235,0.0
cat__ID_E  CN237,0.0
cat__ID_E  CN238,0.0
cat__ID_E  CN240,0.0
cat__ID_E  CN241,0.0
cat__ID_E  CN242,0.0
cat__ID_E  CN244,0.0
cat__ID_E  CN245,0.0
cat__ID_E  CN246,0.0
cat__ID_E  CN248,0.0
cat__ID_E  CN249,0.0
cat__ID_E  CN250,0.0
cat__ID_E  CN253,0.0
cat__ID_E  CN254,0.0
cat__ID_E  CN255,0.0
cat__ID_E  CN257,0.0
cat__ID_E  CN258,0.0
cat__ID_E  CN259,0.0
cat__ID_E  CN260,0.0
cat__ID_E  CN261,0.0
cat__ID_E  CN263,0.0
cat__ID_E  CN265,0.0
cat__ID_E  CN266,0.0
cat__ID_E  CN267,0.0
cat__ID_E  CN269,0.0
cat__ID_E  CN270,0.0
cat__ID_E  CN273,0.0
cat__ID_E  CN274,0.0
cat__ID_E  CN275,0.0
cat__ID_E  CN276,0.0
cat__ID_E  CN277,0.0
cat__ID_E  CN279,0.0
cat__ID_E  CN280,0.0
cat__ID_E  CN281,0.0
cat__ID_E  CN283,0.0
cat__ID_E  CN284,0.0
cat__ID_E  CN285,0.0
cat__ID_E  CN286,0.0
cat__ID_E  CN289,0.0
cat__ID_E  CN290,0.0
cat__ID_E  CN292,0.0
cat__ID_E  CN293,0.0
cat__ID_E  CN296,0.0
cat__ID_E  CN299,0.0
cat__ID_E  CN300,0.0
cat__ID_E  CN301,0.0
cat__ID_E  CN302,0.0
cat__ID_E  CN303,0.0
cat__ID_E  CN306,0.0
cat__ID_E  CN307,0.0
cat__ID_E  CN308,0.0
cat__ID_E  CN309,0.0
cat__ID_E  CN310,0.0
cat__ID_E  CN311,0.0
cat__ID_E  CN312,0.0
cat__ID_E  CN313,0.0
cat__ID_E  CN314,0.0
cat__ID_E  CN315,0.0
cat__ID_E  CN316,0.0
cat__ID_E  CN317,0.0
cat__ID_E  CN318,0.0
cat__ID_E  CN320,0.0
cat__ID_E  CN321,0.0
cat__ID_E  CN322,0.0
cat__ID_E  CN323,0.0
cat__ID_E  CN325,0.0
cat__ID_E  CN326,0.0
cat__ID_E  CN328,0.0
cat__ID_E  CN329,0.0
cat__ID_E  CN330,0.0
cat__ID_E  CN332,0.0
cat__ID_E  CN333,0.0
cat__ID_E  CN334,0.0
cat__ID_E  CN335,0.0
cat__ID_E  CN336,0.0
cat__ID_E  CN337,0.0
cat__ID_E  CN338,0.0
cat__ID_E  CN340,0.0
cat__ID_E  CN342,0.0
cat__ID_E  CN343,0.0
