feature,exact_train,exact_num_train,pearson_train,spearman_train,mutual_info_train,exact_test,exact_num_test,pearson_test,spearman_test,exact_train_trans,pearson_train_trans,spearman_train_trans,mutual_info_train_trans
Project Geographic District ,False,False,,,0.0009986684420777436,False,False,,,,,,
Project School Name,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Project Type ,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Project Description,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Project Phase Name,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Project Status Name,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Project Budget Amount,False,False,,,1.2212453270876722e-15,False,False,,,,,,
DSF Number(s),False,False,,,1.2212453270876722e-15,False,False,,,,,,
source_file,False,False,,,1.2212453270876722e-15,False,False,,,,,,
synthetic_flag,False,False,,,0.0,False,False,,,,,,
Reported,False,False,,,0.0,False,False,,,,,,
Borough,False,False,,,0.0,False,False,,,,,,
Award,False,False,,,0.001018116224532406,False,False,,,,,,
Council_District,False,False,,,0.0,False,False,,,,,,
Sponsor,False,False,,,0.003095414528107021,False,False,,,,,,
Title,False,False,,,0.0,False,False,,,,,,
Description,False,False,,,0.0,False,False,,,,,,
Budget_Line,False,False,,,0.0015212066802812174,False,False,,,,,,
BIN,False,False,,,0.00049933422103976,False,False,,,,,,
Record Type Description,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Check2 Description,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Fatality,False,False,,,0.010482955311563735,False,False,,,,,,
Injury,False,False,,,0.0,False,False,,,,,,
House Number,False,False,,,0.0032828087845091503,False,False,,,,,,
Street Name,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Block,False,False,,,0.0032712173680273793,False,False,,,,,,
Lot,False,False,,,0.0,False,False,,,,,,
Postcode,False,False,,,0.0,False,False,,,,,,
Latitude,False,False,,,0.0006657789613857545,False,False,,,,,,
Longitude,False,False,,,0.00049933422103976,False,False,,,,,,
Community Board,False,False,,,0.002181821933371353,False,False,,,,,,
Council District,False,False,,,0.0011651131824255145,False,False,,,,,,
BBL,False,False,,,0.00049933422103976,False,False,,,,,,
Census Tract (2020),False,False,,,0.015495244174412726,False,False,,,,,,
Neighborhood Tabulation Area (NTA) (2020),False,False,,,1.2212453270876722e-15,False,False,,,,,,
the_geom,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Job_Number,False,False,,,0.00033288948069376545,False,False,,,,,,
Job_Type,False,False,,,1.2212453270876722e-15,False,False,,,,,,
NonresFlag,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Job_Status,False,False,,,1.2212453270876722e-15,False,False,,,,,,
ClassAInit,False,False,,,0.02631870580909812,False,False,,,,,,
ClassAProp,False,False,,,0.01105590210528451,False,False,,,,,,
ClassANet,False,False,,,0.0,False,False,,,,,,
HotelInit,False,False,,,0.0,False,False,,,,,,
HotelProp,False,False,,,0.0,False,False,,,,,,
OtherBInit,False,False,,,0.0,False,False,,,,,,
OtherBProp,False,False,,,0.012245258210222154,False,False,,,,,,
Units_CO,False,False,,,0.010007020091769903,False,False,,,,,,
Boro,False,False,,,0.02293124323784923,False,False,,,,,,
AddressNum,False,False,,,1.2212453270876722e-15,False,False,,,,,,
AddressSt,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Occ_Init,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Occ_Prop,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Bldg_Class,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Job_Desc,False,False,,,1.2212453270876722e-15,False,False,,,,,,
ZoningDst1,False,False,,,1.2212453270876722e-15,False,False,,,,,,
ZoningDst2,False,False,,,1.2212453270876722e-15,False,False,,,,,,
ZoningDst3,False,False,,,1.2212453270876722e-15,False,False,,,,,,
SpeclDst1,False,False,,,1.2212453270876722e-15,False,False,,,,,,
SpeclDst2,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Landmark,False,False,,,1.2212453270876722e-15,False,False,,,,,,
FloorsInit,False,False,,,0.0,False,False,,,,,,
FloorsProp,False,False,,,0.0,False,False,,,,,,
Enlargemnt,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Ownership,False,False,,,1.2212453270876722e-15,False,False,,,,,,
CenBlock20,False,False,,,0.0006657789613857545,False,False,,,,,,
CenTract20,False,False,,,0.0008322237017317491,False,False,,,,,,
BCTCB2020,False,False,,,0.0001664447403477709,False,False,,,,,,
BCT2020,False,False,,,0.00033288948069376545,False,False,,,,,,
NTA2020,False,False,,,1.2212453270876722e-15,False,False,,,,,,
NTAName20,False,False,,,1.2212453270876722e-15,False,False,,,,,,
CDTA2020,False,False,,,1.2212453270876722e-15,False,False,,,,,,
CDTAName20,False,False,,,1.2212453270876722e-15,False,False,,,,,,
CommntyDst,False,False,,,0.00049933422103976,False,False,,,,,,
CouncilDst,False,False,,,0.0029196192986304936,False,False,,,,,,
SchSubDist,False,False,,,1.2212453270876722e-15,False,False,,,,,,
SchCommnty,False,False,,,0.0011651131824255145,False,False,,,,,,
SchElmntry,False,False,,,0.0009986684420777436,False,False,,,,,,
FireCmpany,False,False,,,1.2212453270876722e-15,False,False,,,,,,
FireBattln,False,False,,,0.0011651131824255145,False,False,,,,,,
FireDivsn,False,False,,,0.0,False,False,,,,,,
PolicePcnt,False,False,,,0.0008322237017317491,False,False,,,,,,
PL_FIRM07,False,False,,,0.0,False,False,,,,,,
PL_PFIRM15,False,False,,,0.0,False,False,,,,,,
GeomSource,False,False,,,1.2212453270876722e-15,False,False,,,,,,
DCPEdited,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Version,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Country Code,False,False,,,1.2212453270876722e-15,False,False,,,,,,
Region,False,False,,,1.2212453270876722e-15,False,False,,,,,,
IncomeGroup,False,False,,,1.2212453270876722e-15,False,False,,,,,,
SpecialNotes,False,False,,,1.2212453270876722e-15,False,False,,,,,,
TableName,False,False,,,1.2212453270876722e-15,False,False,,,,,,
INDICATOR_CODE,False,False,,,1.2212453270876722e-15,False,False,,,,,,
INDICATOR_NAME,False,False,,,1.2212453270876722e-15,False,False,,,,,,
SOURCE_NOTE,False,False,,,1.2212453270876722e-15,False,False,,,,,,
SOURCE_ORGANIZATION,False,False,,,1.2212453270876722e-15,False,False,,,,,,
equipment,False,False,,,1.2212453270876722e-15,False,False,,,,,,
hours_used,False,False,,,0.011476192134295182,False,False,,,,,,
hourly_cost_estimated,False,False,,,0.0001664447403477709,False,False,,,,,,
cost_estimated,False,False,,,0.0,False,False,,,,,,
maintenance_flag,False,False,,,1.2212453270876722e-15,False,False,,,,,,
is_synthetic,False,False,,,1.2212453270876722e-15,False,False,,,,,,
source,False,False,,,1.2212453270876722e-15,False,False,,,,,,
material,False,False,,,1.2212453270876722e-15,False,False,,,,,,
quantity,False,False,,,0.01647057811885233,False,False,,,,,,
unit,False,False,,,1.2212453270876722e-15,False,False,,,,,,
unit_price_estimated,False,False,,,0.00049933422103976,False,False,,,,,,
total_cost_estimated,False,False,,,0.0014980026631175036,False,False,,,,,,
num__Project Geographic District ,,,,,,,,,,False,,,0.0
num__synthetic_flag,,,,,,,,,,False,,,0.0024551710379769887
num__Award,,,,,,,,,,False,,,0.0
num__Council_District,,,,,,,,,,False,,,0.0
num__BIN,,,,,,,,,,False,,,0.0
num__Fatality,,,,,,,,,,False,,,0.002210489495964474
num__Injury,,,,,,,,,,False,,,0.0
num__House Number,,,,,,,,,,False,,,0.017422536651590548
num__Block,,,,,,,,,,False,,,0.0061741636558787505
num__Lot,,,,,,,,,,False,,,0.0
num__Postcode,,,,,,,,,,False,,,0.0
num__Latitude,,,,,,,,,,False,,,0.024980731492640906
num__Longitude,,,,,,,,,,False,,,0.0
num__Community Board,,,,,,,,,,False,,,0.0
num__Council District,,,,,,,,,,False,,,0.0
num__BBL,,,,,,,,,,False,,,0.0
num__Census Tract (2020),,,,,,,,,,False,,,0.029442776735263188
num__Job_Number,,,,,,,,,,False,,,0.003703179241999699
