transformed_feature,original_column,transformer,flagged_reason
num__Project Geographic District ,Project Geographic District ,num,deep_candidate
,Project School Name,num,
,Project Type ,num,
,Project Description,num,
,Project Phase Name,num,
,Project Status Name,num,
,Project Budget Amount,num,
,DSF Number(s),num,
num__synthetic_flag,synthetic_flag,num,deep_candidate
num__Award,Award,num,deep_candidate
num__Council_District,Council_District,num,deep_candidate
num__BIN,BIN,num,deep_candidate
,Record Type Description,num,
,Check2 Description,num,
num__Fatality,Fatality,num,deep_candidate
num__Injury,Injury,num,deep_candidate
num__House Number,House Number,num,deep_candidate
,Street Name,num,
num__Block,Block,num,deep_candidate
num__Lot,Lot,num,deep_candidate
num__Postcode,Postcode,num,deep_candidate
num__Latitude,Latitude,num,deep_candidate
num__Longitude,Longitude,num,deep_candidate
num__Community Board,Community Board,num,deep_candidate
num__Council District,Council District,num,deep_candidate
num__BBL,BBL,num,deep_candidate
num__Census Tract (2020),Census Tract (2020),num,deep_candidate
,Neighborhood Tabulation Area (NTA) (2020),num,
,the_geom,num,
num__Job_Number,Job_Number,num,deep_candidate
,Job_Type,num,
,NonresFlag,num,
,Job_Status,num,
num__ClassAInit,ClassAInit,num,deep_candidate
num__ClassAProp,ClassAProp,num,deep_candidate
num__ClassANet,ClassANet,num,deep_candidate
num__HotelInit,HotelInit,num,deep_candidate
num__HotelProp,HotelProp,num,deep_candidate
num__OtherBInit,OtherBInit,num,deep_candidate
num__OtherBProp,OtherBProp,num,deep_candidate
num__Units_CO,Units_CO,num,deep_candidate
num__Boro,Boro,num,deep_candidate
,AddressNum,num,
,AddressSt,num,
,Occ_Init,num,
,Occ_Prop,num,
,Bldg_Class,num,
,Job_Desc,num,
,ZoningDst1,num,
,ZoningDst2,num,
,ZoningDst3,num,
,SpeclDst1,num,
,SpeclDst2,num,
,Landmark,num,
num__FloorsInit,FloorsInit,num,deep_candidate
num__FloorsProp,FloorsProp,num,deep_candidate
,Enlargemnt,num,
,Ownership,num,
num__CenBlock20,CenBlock20,num,deep_candidate
num__CenTract20,CenTract20,num,deep_candidate
num__BCTCB2020,BCTCB2020,num,deep_candidate
num__BCT2020,BCT2020,num,deep_candidate
,NTA2020,num,
,NTAName20,num,
,CDTA2020,num,
,CDTAName20,num,
num__CommntyDst,CommntyDst,num,deep_candidate
num__CouncilDst,CouncilDst,num,deep_candidate
,SchSubDist,num,
num__SchCommnty,SchCommnty,num,deep_candidate
num__SchElmntry,SchElmntry,num,deep_candidate
,FireCmpany,num,
num__FireBattln,FireBattln,num,deep_candidate
num__FireDivsn,FireDivsn,num,deep_candidate
num__PolicePcnt,PolicePcnt,num,deep_candidate
num__PL_FIRM07,PL_FIRM07,num,deep_candidate
num__PL_PFIRM15,PL_PFIRM15,num,deep_candidate
,GeomSource,num,
,DCPEdited,num,
,Version,num,
,Country Code,num,
,Region,num,
,IncomeGroup,num,
,SpecialNotes,num,
,TableName,num,
,INDICATOR_CODE,num,
,INDICATOR_NAME,num,
,SOURCE_NOTE,num,
,SOURCE_ORGANIZATION,num,
cat__Description_STEM equipment for Leaders High School,equipment,num,deep_candidate
num__hours_used,hours_used,num,deep_candidate
num__hourly_cost_estimated,hourly_cost_estimated,num,deep_candidate
num__cost_estimated,cost_estimated,num,deep_candidate
cat__source_file_City_Council_Capital_Budget.csv,source,num,deep_candidate
,material,num,
num__quantity,quantity,num,deep_candidate
num__Community Board,unit,num,deep_candidate
num__unit_price_estimated,unit_price_estimated,num,deep_candidate
num__total_cost_estimated,total_cost_estimated,num,deep_candidate
cat__source_file_City_Council_Capital_Budget.csv,source,cat,deep_candidate
cat__Reported_2019,Reported,cat,deep_candidate
cat__Reported_2020,Reported,cat,deep_candidate
cat__Reported_2021,Reported,cat,deep_candidate
cat__Reported_2022,Reported,cat,deep_candidate
cat__Reported_2023,Reported,cat,deep_candidate
cat__Reported_2024,Reported,cat,deep_candidate
cat__Reported_2025,Reported,cat,deep_candidate
cat__Reported_2026,Reported,cat,deep_candidate
"cat__Reported_EDUCATION CENTER""",Reported,cat,deep_candidate
"cat__Reported_GYMNASIUM UPGRADE""",Reported,cat,deep_candidate
cat__Borough_2000000,Borough,cat,deep_candidate
cat__Borough_A,Borough,cat,deep_candidate
cat__Borough_C,Borough,cat,deep_candidate
cat__Borough_FY20,Borough,cat,deep_candidate
cat__Borough_K,Borough,cat,deep_candidate
cat__Borough_M,Borough,cat,deep_candidate
cat__Borough_Q,Borough,cat,deep_candidate
cat__Borough_R,Borough,cat,deep_candidate
cat__Borough_X,Borough,cat,deep_candidate
cat__Sponsor_Abreu,Sponsor,cat,deep_candidate
cat__Sponsor_Adams,Sponsor,cat,deep_candidate
"cat__Sponsor_Adams, Speaker",Sponsor,cat,deep_candidate
cat__Sponsor_Ampry-Samuel,Sponsor,cat,deep_candidate
"cat__Sponsor_Ampry-Samuel, Black, Latino and Asian Caucus, Speaker",Sponsor,cat,deep_candidate
"cat__Sponsor_Ampry-Samuel, Maisel, Williams, Brooklyn Delegation, Dromm, Speaker",Sponsor,cat,deep_candidate
"cat__Sponsor_Ampry-Samuel, Speaker",Sponsor,cat,deep_candidate
cat__Sponsor_Ariola,Sponsor,cat,deep_candidate
cat__Sponsor_AvilΘs,Sponsor,cat,deep_candidate
cat__Sponsor_Avil├⌐s,Sponsor,cat,deep_candidate
cat__Sponsor_Ayala,Sponsor,cat,deep_candidate
"cat__Sponsor_Ayala, Speaker",Sponsor,cat,deep_candidate
cat__Sponsor_Banks,Sponsor,cat,deep_candidate
cat__Sponsor_Barron,Sponsor,cat,deep_candidate
"cat__Sponsor_Barron, Speaker",Sponsor,cat,deep_candidate
"cat__Sponsor_Black, Latino and Asian Caucus, Barron, Speaker",Sponsor,cat,deep_candidate
cat__Sponsor_Borelli,Sponsor,cat,deep_candidate
"cat__Sponsor_Borelli, Staten Island Delegation, Speaker",Sponsor,cat,deep_candidate
"cat__Sponsor_Borelli, Technical Adjustment",Sponsor,cat,deep_candidate
cat__Sponsor_Bottcher,Sponsor,cat,deep_candidate
cat__Sponsor_Brannan,Sponsor,cat,deep_candidate
cat__Sponsor_Brewer,Sponsor,cat,deep_candidate
