feature,importance
source_file_City_Council_Capital_Budget.csv,0.0
Budget_Line_300000,0.0
Budget_Line_AG D001,0.0
Budget_Line_AG DN02E,0.0
Budget_Line_AG DN06Y,0.0
Budget_Line_AG DN184,0.0
Budget_Line_AG DN191,0.0
Budget_Line_AG DN216,0.0
Budget_Line_AG DN262,0.0
Budget_Line_AG DN282,0.0
Budget_Line_AG DN593,0.0
Budget_Line_AG DN658,0.0
Budget_Line_AG DN663,0.0
Budget_Line_AG DN950,0.0
Budget_Line_CO D294,0.0
Budget_Line_CS DN207,0.0
Budget_Line_CS DN312,0.0
Budget_Line_CS DN442,0.0
Budget_Line_CS DN799,0.0
Budget_Line_CS DN858,0.0
Budget_Line_CS DN956,0.0
Budget_Line_CS DN972,0.0
Budget_Line_E  D001,0.0
Budget_Line_E  D4001,0.0
Budget_Line_E D001,0.0
Budget_Line_E D4001,0.0
Budget_Line_ED D075,0.0
Budget_Line_ED D319,0.0
Budget_Line_ED D384,0.0
Budget_Line_ED D408,0.0
Budget_Line_ED D831,0.0
Budget_Line_ED DN04E,0.0
Budget_Line_ED DN056,0.0
Budget_Line_ED DN05O,0.0
Budget_Line_ED DN05S,0.0
Budget_Line_ED DN05T,0.0
Budget_Line_ED DN06G,0.0
Budget_Line_ED DN06J,0.0
Budget_Line_ED DN06N,0.0
Budget_Line_ED DN06S,0.0
Budget_Line_ED DN06T,0.0
Budget_Line_ED DN06V,0.0
Budget_Line_ED DN07P,0.0
Budget_Line_ED DN08D,0.0
Budget_Line_ED DN257,0.0
Budget_Line_ED DN378,0.0
Budget_Line_ED DN447,0.0
Budget_Line_ED DN628,0.0
Budget_Line_ED DN631,0.0
Budget_Line_ED DN690,0.0
Budget_Line_ED DN760,0.0
Budget_Line_ED DN827,0.0
Budget_Line_ED DN973,0.0
Budget_Line_EP D004,0.0
Budget_Line_F  D109,0.0
Budget_Line_F  D175,0.0
Budget_Line_F  DN067,0.0
Budget_Line_F D109,0.0
Budget_Line_F D175,0.0
Budget_Line_HA D001,0.0
Budget_Line_HD D003,0.0
Budget_Line_HD D020,0.0
Budget_Line_HD D021,0.0
Budget_Line_HD D022,0.0
Budget_Line_HD D024,0.0
Budget_Line_HD DN512,0.0
Budget_Line_HD DN647,0.0
Budget_Line_HD DN661,0.0
