"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9366.31498038264","8782.07007499412","8431.35104016234","8408.76393414856","8044.9391063714","8096.4172407961","8084.95544211009","7904.22550832761","7877.91299090621","8095.60733801189","7921.51925499583","8652.80041891241","8646.69138841794","8805.5461122292","9172.99781196522","9552.03597438015","10039.2260367957","10742.2923907035","10308.5690284133","10724.4222814075","10578.8765350272","10252.3301632543","10130.5341437953","10241.4111212263","10088.3104134106","10185.9674086737","10300.8172066249","10329.9602908244","10281.8238723491","9772.73841120867","10010.6279110906","9856.99797357039","10058.2208473824","",
"Afghanistan","AFG","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3307.7348104851","3320.71933066673","3596.47747117614","3764.56558918371","3946.5072099888","4058.31193245245","3980.89866058479","3686.2416210319","3444.82502307591","3391.46731744098","3167.09649739312","2798.85166561788","2432.30826917089","2607.71377229095","2726.94794434064","3106.51645628516","3400.94462071975","3591.85065334494","3446.50804785287","2967.71202611216","3051.66285222181","3040.7155818754","",
"Africa Western and Central","AFW","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11537.4289237482","11703.891271572","10808.7353077588","10126.1649892252","9704.52801526844","9902.33029587275","9850.08506230778","9685.57830658842","9056.69391474913","9117.28938684371","9185.18416816296","9079.13078802671","9529.51843673001","9356.78847665475","9660.28719772191","9516.16925292416","9349.72726879709","9139.96170617894","9106.34013657911","9188.33582906075","9715.4787492929","9526.61248575912","9231.81956752244","9058.36768310723","8514.43149173004","7806.42503886498","7775.01981517058","7732.60592829626","7745.7957739444","6377.46381726239","5791.3510860039","5591.09557845754","5470.39916525907","",
"Angola","AGO","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26677.569105144","26739.0928819885","29325.6125143538","33693.9520726947","37522.4196196847","43442.5869590419","47257.6644777686","47150.2624036805","44714.8421651651","44601.0739476","48433.9349248339","50655.9172355379","48644.456078326","49024.100178954","50186.9595528509","48734.0175828421","46899.7161924099","45802.3228576767","42387.9910930995","41540.6798455921","42497.4982262577","41511.7747167872","",
"Albania","ALB","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5753.9491930614","7011.17427262747","5932.44985979244","7352.52386876898","8751.37080404203","10334.8424213016","11749.1524238394","11653.9374700573","13195.5527513692","13167.1893010279","14119.9642796384","15198.3569639578","15057.5788009815","14488.2842217401","12637.7760141433","12300.2995904638","12415.7001329686","13488.2414876673","16038.9480455294","15301.9982791531","14792.6560354006","14045.6980844763","14101.8989671383","14627.625497524","14175.9563449087","14257.4212965102","15203.9317228429","16032.5463552642","16808.4668761753","",
"Andorra","AND","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29858.0498046481","29485.0217629169","","34638.1314750032","33423.7960855763","34418.9375702571","39317.3058612626","38222.2957276866","38690.5934987545","39566.8330381272","38684.131590673","40246.3566590675","38619.5011575785","38180.7633009275","35323.2078972025","35657.4424569539","37409.3238062296","38741.2846203545","38052.3642149525","37468.3794010631","37719.6659130155","37484.0890047448","36905.2217495445","37491.0348623261","37629.9593003279","36342.0878424326","37388.2060681012","39133.5462843074","41174.3466618078","",
"United Arab Emirates","ARE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160756.711430756","145059.001079023","144537.845526692","149205.179306794","147264.173823652","161975.455013423","144706.258466761","137463.11722912","113792.488531642","110964.576838668","114152.028162351","110940.70168872","105547.716161339","97705.3677405972","94389.7439418087","90828.3946679482","82674.6039829249","81186.0196146337","95471.3172010693","95528.8476408197","90911.8342865749","94395.3821539515","89588.4409810595","",
"Argentina","ARG","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17945.4034169573","19851.1641379777","23027.9701867193","25236.0332068444","27637.0997502374","30367.5261005553","30424.7765218538","30438.7731923757","30188.3533076257","30731.4062060226","30831.8662817776","30896.4386349283","30077.1793928755","30392.9385218905","30706.7226956277","31729.5644270138","32612.0397873472","33113.1378827872","31728.7880130902","33800.3887809754","33627.9094388947","33086.0540987909","32580.9783832513","30973.5599440988","32743.7877850848","31873.48686693","32364.5579633382","31450.9885917794","29775.1728534797","28816.7852273466","30318.0616862541","29702.5447918338","28417.8335761615","",
