project_id,date,equipment,hours_used,hourly_cost_estimated,cost_estimated,maintenance_flag,is_synthetic,source
P.S. 206 - BROOKLYN,2024-03-03,excavator,23.25,138.53,3220.82,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-01,crane,15.22,533.06,8113.17,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-06,dump_truck,3.41,106.03,361.56,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-12-23,dump_truck,17.73,104.7,1856.33,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-29,dump_truck,3.28,127.99,419.81,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-09-23,crane,6.78,491.48,3332.23,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-03-03,bulldozer,4.29,106.8,458.17,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-13,loader,8.41,164.62,1384.45,True,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-01-18,bulldozer,5.12,168.52,862.82,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-05-22,dump_truck,14.26,97.88,1395.77,True,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-14,loader,1.15,123.31,141.81,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-09-29,excavator,8.47,179.44,1519.86,True,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-06-27,excavator,17.82,150.26,2677.63,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-07-04,crane,2.71,536.75,1454.59,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-02-29,crane,13.43,522.98,7023.62,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-10-13,dump_truck,13.31,80.36,1069.59,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-09-04,dump_truck,8.23,89.1,733.29,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-03-05,dump_truck,20.45,89.96,1839.68,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-12-11,dump_truck,1.0,121.36,121.36,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-03-01,excavator,3.92,156.77,614.54,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-03-16,dump_truck,11.01,87.29,961.06,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-08-20,excavator,7.1,135.01,958.57,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-10-10,loader,6.31,98.45,621.22,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-12-19,crane,2.35,696.98,1637.9,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-09-28,loader,12.67,124.97,1583.37,False,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-12-30,bulldozer,2.26,113.28,256.01,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-05-29,loader,5.76,139.04,800.87,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-05-31,excavator,7.19,139.7,1004.44,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-05-27,loader,13.47,143.69,1935.5,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-08-25,bulldozer,5.14,155.53,799.42,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-07-22,crane,7.86,641.42,5041.56,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-07-29,crane,3.6,408.69,1471.28,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-04-20,loader,19.26,114.84,2211.82,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-07-19,loader,11.63,126.61,1472.47,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-01-28,bulldozer,0.9,153.63,138.27,True,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-08-17,loader,7.01,111.93,784.63,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-01,crane,7.21,690.48,4978.36,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-03-07,dump_truck,2.7,106.77,288.28,False,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-01-11,loader,17.04,161.68,2755.03,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-11-28,crane,4.94,442.46,2185.75,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-04-14,dump_truck,13.86,110.46,1530.98,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-04-17,bulldozer,4.21,176.31,742.27,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-03-10,crane,9.37,402.95,3775.64,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-03-17,loader,4.2,100.83,423.49,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-06-08,crane,7.61,537.58,4090.98,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-11-15,loader,9.87,138.8,1369.96,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-11-21,dump_truck,11.97,76.81,919.42,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-05-25,loader,1.58,138.08,218.17,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-11-15,loader,15.9,142.2,2260.98,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-30,crane,2.38,430.89,1025.52,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-04-01,bulldozer,2.66,144.74,385.01,False,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-07-15,bulldozer,4.88,148.9,726.63,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-04-21,bulldozer,10.38,177.57,1843.18,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-12-14,crane,10.54,624.22,6579.28,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-07,excavator,1.72,145.11,249.59,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-07-30,crane,11.03,650.58,7175.9,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-04-12,crane,12.65,531.88,6728.28,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-30,dump_truck,5.7,96.73,551.36,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-09-24,loader,12.34,108.27,1336.05,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-10-26,loader,5.2,107.21,557.49,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-12-25,loader,2.85,153.33,436.99,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-12-24,dump_truck,18.48,107.44,1985.49,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-05-17,excavator,1.02,139.64,142.43,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-02-29,dump_truck,6.04,113.52,685.66,False,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-03-12,loader,1.1,123.21,135.53,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-15,excavator,9.74,133.53,1300.58,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-12-28,dump_truck,6.03,111.03,669.51,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-10,excavator,16.11,161.83,2607.08,True,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-09-07,loader,5.76,145.42,837.62,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-06-21,bulldozer,18.94,163.81,3102.56,True,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-05-16,crane,4.27,534.03,2280.31,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-01-19,dump_truck,14.51,82.37,1195.19,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-09-29,loader,6.53,102.81,671.35,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-11-20,loader,9.85,127.04,1251.34,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-22,dump_truck,7.05,123.59,871.31,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-09-25,dump_truck,21.44,102.13,2189.67,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-09,excavator,19.76,177.4,3505.42,False,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-14,dump_truck,23.99,131.88,3163.8,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-01-12,dump_truck,15.17,107.47,1630.32,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-03-23,loader,2.29,122.57,280.69,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-03-30,loader,23.15,119.24,2760.41,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-01-16,crane,1.44,573.28,825.52,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-12-16,dump_truck,0.92,86.08,79.19,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-11-24,excavator,8.56,192.33,1646.34,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-03-22,crane,14.42,402.06,5797.71,True,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-12-12,loader,11.32,158.43,1793.43,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-07-16,excavator,10.65,199.5,2124.68,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-11-06,dump_truck,14.18,116.74,1655.37,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-01-31,bulldozer,12.17,160.56,1954.02,True,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-07-23,dump_truck,8.4,111.87,939.71,False,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-03-04,excavator,10.3,194.27,2000.98,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-09-16,loader,0.96,133.02,127.7,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-06-02,bulldozer,10.57,125.47,1326.22,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-06-07,loader,2.02,104.03,210.14,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-04-03,loader,23.41,132.69,3106.27,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-04-01,excavator,7.19,188.44,1354.88,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-02-18,loader,1.19,155.22,184.71,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-02-25,crane,16.69,463.96,7743.49,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-06-12,dump_truck,6.47,128.87,833.79,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-12-10,crane,8.64,497.13,4295.2,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-07-21,crane,13.08,447.14,5848.59,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-08-30,dump_truck,3.29,120.96,397.96,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-05-17,crane,14.75,656.87,9688.83,False,True,synthetic_generator_v1
P.S. 4 - BRONX,2024-03-15,bulldozer,2.8,130.03,364.08,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-10-21,bulldozer,16.43,148.99,2447.91,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-03-16,crane,2.38,492.54,1172.25,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-09-30,dump_truck,8.63,83.26,718.53,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-02-05,bulldozer,5.72,171.9,983.27,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-12-02,crane,7.93,697.3,5529.59,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-04-21,bulldozer,11.06,106.13,1173.8,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-08-13,excavator,10.41,159.96,1665.18,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-04-16,loader,1.2,99.54,119.45,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-04-11,crane,7.9,437.39,3455.38,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-09-16,dump_truck,5.09,117.3,597.06,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-04-17,excavator,18.74,152.26,2853.35,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-07-31,crane,1.72,463.1,796.53,False,True,synthetic_generator_v1
P.S. 76 - BRONX,2024-09-16,bulldozer,3.95,177.7,701.91,True,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-08-06,excavator,0.73,206.83,150.99,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-04-26,loader,8.45,147.31,1244.77,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-06-26,bulldozer,2.95,139.3,410.94,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-02-12,dump_truck,12.59,126.48,1592.38,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-03-13,crane,20.01,632.77,12661.73,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-06-30,dump_truck,2.8,125.02,350.06,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-09-29,bulldozer,3.78,146.08,552.18,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-09-28,crane,3.91,449.69,1758.29,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-11-12,crane,9.11,652.97,5948.56,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-03-18,dump_truck,16.76,124.92,2093.66,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-07-24,bulldozer,2.6,134.4,349.44,False,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-08-03,loader,2.26,163.55,369.62,True,True,synthetic_generator_v1
AUGUST MARTIN HS - QUEENS,2024-05-08,dump_truck,7.36,114.08,839.63,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-06-19,bulldozer,4.27,169.23,722.61,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-06-05,excavator,3.27,202.28,661.46,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-07-26,bulldozer,2.74,163.01,446.65,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-12-28,loader,2.42,121.24,293.4,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-07-04,crane,13.33,433.44,5777.76,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-09-16,dump_truck,4.71,92.88,437.46,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-04-01,loader,4.16,102.72,427.32,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-12-05,loader,4.35,157.36,684.52,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-06-23,dump_truck,3.91,97.96,383.02,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-05-30,dump_truck,9.9,108.5,1074.15,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-04-25,loader,9.27,107.16,993.37,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-01-14,loader,1.16,112.16,130.11,False,True,synthetic_generator_v1
P.S. 105 - BRONX,2024-04-22,crane,12.6,643.46,8107.6,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-03-20,dump_truck,5.95,97.33,579.11,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-08-13,crane,9.17,533.53,4892.47,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-10-02,excavator,5.82,192.65,1121.22,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-05-29,excavator,3.56,166.66,593.31,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-09-11,crane,10.6,581.05,6159.13,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-06-21,loader,15.58,124.0,1931.92,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-02-29,dump_truck,2.13,79.73,169.82,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-03-13,crane,15.51,638.22,9898.79,True,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-01-31,loader,4.21,154.39,649.98,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-12-28,dump_truck,14.38,113.82,1636.73,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-09-26,dump_truck,12.14,108.78,1320.59,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-07-20,dump_truck,2.45,83.72,205.11,False,True,synthetic_generator_v1
P.S. 282 - BROOKLYN,2024-05-29,loader,1.39,125.11,173.9,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-06-20,loader,15.01,156.73,2352.52,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-05-27,dump_truck,7.87,85.18,670.37,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-06-11,excavator,8.75,166.62,1457.92,True,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-03-27,bulldozer,8.39,132.89,1114.95,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-02-23,crane,7.16,417.53,2989.51,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-10-17,excavator,6.52,197.13,1285.29,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-01-19,dump_truck,4.97,122.97,611.16,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-10-19,loader,6.05,116.34,703.86,False,True,synthetic_generator_v1
