project_id,date,material,quantity,unit,unit_price_estimated,total_cost_estimated,is_synthetic,source
P.S. 206 - BROOKLYN,2024-03-30,lumber,13.62,board_feet,1.08,14.71,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-11-22,rebar,11.94,tons,750.81,8964.67,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-10,lumber,10.149,board_feet,1.13,11.47,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-03-23,aggregate,5.942,tons,17.63,104.76,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-08,cement,7.351,tons,134.1,985.77,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-14,cement,2.048,tons,140.88,288.52,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-01-03,lumber,7.078,board_feet,1.43,10.12,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-06-23,steel,7.91,tons,1010.65,7994.24,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-11-24,rebar,13.995,tons,754.7,10562.03,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-30,rebar,5.554,tons,693.59,3852.2,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-11-12,rebar,15.982,tons,717.89,11473.32,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-11-16,aggregate,9.42,tons,17.99,169.47,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-10-18,cement,13.515,tons,106.84,1443.94,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-09-12,steel,13.75,tons,783.53,10773.54,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-10-03,lumber,23.473,board_feet,1.16,27.23,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-05-08,aggregate,7.72,tons,16.97,131.01,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-02-04,steel,8.964,tons,972.13,8714.17,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-09-22,rebar,4.315,tons,735.01,3171.57,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-23,rebar,19.595,tons,626.04,12267.25,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-29,lumber,10.489,board_feet,1.33,13.95,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-01-17,lumber,0.991,board_feet,1.45,1.44,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-01-31,steel,8.271,tons,838.52,6935.4,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-06-17,cement,5.451,tons,147.5,804.02,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-11-08,cement,8.975,tons,118.6,1064.43,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-02-06,aggregate,6.332,tons,13.23,83.77,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-10-09,aggregate,3.063,tons,18.43,56.45,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-05-18,cement,14.4,tons,112.81,1624.46,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-06-28,aggregate,12.226,tons,15.62,190.97,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-26,cement,7.199,tons,139.53,1004.48,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-10,rebar,4.132,tons,765.28,3162.14,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-13,cement,2.004,tons,138.75,278.06,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-12-22,steel,4.04,tons,919.7,3715.59,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-06,rebar,12.058,tons,846.2,10203.48,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-07,lumber,13.275,board_feet,1.11,14.74,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-11,cement,5.426,tons,102.48,556.06,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-30,rebar,9.481,tons,754.05,7149.15,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-01-08,steel,6.631,tons,810.62,5375.22,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-02,lumber,1.412,board_feet,1.04,1.47,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-06-28,rebar,0.902,tons,676.88,610.55,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-11-06,aggregate,1.295,tons,15.62,20.23,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-14,rebar,4.075,tons,655.63,2671.69,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-15,lumber,2.987,board_feet,1.44,4.3,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-30,cement,8.879,tons,128.56,1141.48,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-12-13,lumber,19.961,board_feet,1.24,24.75,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-10-20,rebar,13.409,tons,810.32,10865.58,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-13,steel,15.976,tons,1122.34,17930.5,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-01,steel,2.33,tons,1091.78,2543.85,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-23,lumber,11.615,board_feet,1.28,14.87,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-06-21,rebar,8.983,tons,705.49,6337.42,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-11-11,lumber,4.573,board_feet,1.4,6.4,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-11-07,cement,16.306,tons,107.97,1760.56,True,synthetic_generator_v1
