ID,n_rows,planned_any,actual_any,start_any
--RENOVATE A MALE AND FEMALE BATHROOM FOR NYC DISTRICT 75 STUDENTS WHO REQUIRE STAFF ASSISTANCE FOR TOILETING.,1,False,True,False
AG CN001,3,False,True,False
AG CN002,3,False,True,False
AG CN003,1,False,True,False
AG CN004,1,False,True,False
AG CN0584,1,False,True,False
AG NC001,3,False,True,False
AG NC002,2,False,True,False
AG NC003,1,False,True,False
AG NC004,1,False,True,False
AG NC007,1,False,True,False
AG NC008,1,False,True,False
AG NC010,1,False,True,False
AG NC011,1,False,True,False
AG NC0415,1,False,True,False
AG NC1273,1,False,True,False
AG NC901,1,False,True,False
AG NC902,1,False,True,False
AG TANC1,1,False,True,False
BR CN001,1,False,True,False
BR CN003,1,False,True,False
CO CN001,1,False,True,False
CS NC001,2,False,True,False
CS NC0228,1,False,True,False
CS NC1111,1,False,True,False
CS NC1126,1,False,True,False
CS NC1472,1,False,True,False
CS TA001,1,False,True,False
E  CN001,7,False,True,False
E  CN002,7,False,True,False
E  CN003,6,False,True,False
E  CN004,7,False,True,False
E  CN005,7,False,True,False
E  CN006,7,False,True,False
E  CN007,7,False,True,False
E  CN008,7,False,True,False
E  CN009,7,False,True,False
E  CN010,7,False,True,False
E  CN011,7,False,True,False
E  CN012,7,False,True,False
E  CN013,6,False,True,False
E  CN014,7,False,True,False
E  CN015,7,False,True,False
E  CN016,7,False,True,False
E  CN017,7,False,True,False
E  CN018,7,False,True,False
E  CN019,7,False,True,False
E  CN020,7,False,True,False
E  CN021,7,False,True,False
E  CN022,7,False,True,False
E  CN023,7,False,True,False
E  CN024,8,False,True,False
E  CN025,7,False,True,False
E  CN026,7,False,True,False
E  CN027,6,False,True,False
E  CN028,7,False,True,False
E  CN029,7,False,True,False
E  CN030,7,False,True,False
E  CN031,7,False,True,False
E  CN032,7,False,True,False
E  CN033,7,False,True,False
E  CN034,7,False,True,False
E  CN035,7,False,True,False
E  CN036,6,False,True,False
E  CN037,7,False,True,False
E  CN038,7,False,True,False
E  CN039,7,False,True,False
E  CN040,7,False,True,False
E  CN041,7,False,True,False
E  CN042,7,False,True,False
E  CN043,7,False,True,False
E  CN044,7,False,True,False
E  CN045,7,False,True,False
E  CN046,7,False,True,False
E  CN047,7,False,True,False
E  CN048,7,False,True,False
E  CN049,7,False,True,False
E  CN050,7,False,True,False
E  CN051,7,False,True,False
E  CN052,7,False,True,False
E  CN053,7,False,True,False
E  CN054,7,False,True,False
E  CN055,7,False,True,False
E  CN056,7,False,True,False
E  CN057,7,False,True,False
E  CN058,7,False,True,False
E  CN059,7,False,True,False
E  CN060,7,False,True,False
E  CN061,7,False,True,False
E  CN062,7,False,True,False
E  CN063,7,False,True,False
E  CN064,7,False,True,False
E  CN065,7,False,True,False
E  CN066,7,False,True,False
E  CN067,7,False,True,False
E  CN068,7,False,True,False
E  CN069,7,False,True,False
E  CN070,7,False,True,False
E  CN071,7,False,True,False
E  CN072,7,False,True,False
E  CN073,7,False,True,False
E  CN074,7,False,True,False
E  CN075,7,False,True,False
E  CN076,7,False,True,False
E  CN077,7,False,True,False
E  CN078,6,False,True,False
E  CN079,7,False,True,False
E  CN080,7,False,True,False
E  CN081,7,False,True,False
E  CN082,7,False,True,False
E  CN083,7,False,True,False
