,mean,median,std,min,max
Project Geographic District ,17.422422642616226,17.42242264261622,7.106373171562942e-15,17.42242264261622,17.42242264261622
Final Estimate of Actual Costs Through End of Phase Amount,142259.0,142259.0,0.0,142259.0,142259.0
Total Phase Actual Spending Amount,6360.0,6360.0,0.0,6360.0,6360.0
DSF Number(s),,,,,
Award,630194.0377961139,200000.0,1226354.022666428,20000.0,15800000.0
Council_District,6091180464528731.0,26.0,3.631193581534228e+17,0.0,2.2252930459497005e+19
BIN,3448024.3596615903,3448664.818756282,39256.537797711804,1042460.0,3448664.818756282
Accident Report ID,43964.93351548269,43964.9335154827,7.276926127680453e-12,43964.9335154827,43964.9335154827
Fatality,0.0,0.0,0.0,0.0,0.0
Injury,0.7814207650273223,0.7814207650273224,1.1103708080567097e-16,0.7814207650273224,0.7814207650273224
House Number,333.0,333.0,0.0,333.0,333.0
Block,1452.0,1452.0,0.0,1452.0,1452.0
Lot,25.0,25.0,0.0,25.0,25.0
Postcode,10643.288725939503,10643.288725939505,1.8192315319201132e-12,10643.288725939505,10643.288725939505
Latitude,40.697056592793075,40.6970379089918,0.0011452118607429638,40.6970379089918,40.76723295043983
Longitude,-73.93269200199617,-73.93268326748634,0.0005353762915672151,-73.96549882089187,-73.93268326748634
Community Board,230.39596700274976,230.39596700274976,0.0,230.39596700274976,230.39596700274976
Council District,19.90467461044912,19.904674610449128,7.106373171562942e-15,19.904674610449128,19.904674610449128
BBL,3305888499.2394905,3306498690.5329523,37401291.939060204,1014010001.0,3306498690.5329523
Census Tract (2020),268.0,268.0,0.0,268.0,268.0
Job_Number,345752637.22830695,345812433.36122185,3665166.396084306,121158362.0,345812433.36122185
CompltYear,2016.9635026541548,2016.963492937076,0.0005956022049295894,2016.963492937076,2017.0
PermitYear,2014.9465796523912,2014.947097911084,0.03176634098082484,2013.0,2014.947097911084
ClassAInit,0.9997338301836571,1.0,0.016314711653683207,0.0,1.0
ClassAProp,1.9994676603673143,2.0,0.032629423307366415,0.0,2.0
ClassANet,0.9997338301836571,1.0,0.016314711653683207,0.0,1.0
HotelInit,0.0,0.0,0.0,0.0,0.0
HotelProp,0.0,0.0,0.0,0.0,0.0
OtherBInit,0.0,0.0,0.0,0.0,0.0
OtherBProp,0.00026616981634282674,0.0,0.016314711653683207,0.0,1.0
Units_CO,1.9994676603673143,2.0,0.032629423307366415,0.0,2.0
Boro,3.270056969770433,3.270661351285282,0.03704518520938205,1.0,3.270661351285282
FloorsInit,2.0007985094490284,2.0,0.048944134961049636,2.0,5.0
FloorsProp,3.0005323396326857,3.0,0.032629423307366415,3.0,5.0
CenBlock20,360611254647786.7,360611254949875.0,18516314.611588627,360610120004005.0,360611254949875.0
CenTract20,36061125464.56625,36061125494.77512,1851.6345303410899,36061012000.0,36061125494.77512
BCTCB2020,33134612497.625458,33140739922.67674,375576668.55248433,10120004005.0,33140739922.67674
BCT2020,3313461.0373372277,3314073.779892429,37557.66992444957,1012000.0,3314073.779892429
CommntyDst,334.14840708722704,334.2086169932674,3.6905283598236216,108.0,334.2086169932674
CouncilDst,29.84564074819517,29.852521909203745,0.42177644046918683,4.0,29.852521909203745
SchCommnty,20.183248923419825,20.18809004400647,0.29673344459919193,2.0,20.18809004400647
SchElmntry,369.7191151309968,369.6785717644182,2.4850801803407165,369.6785717644182,522.0
SchMiddle,179.18543271668076,179.20837878502914,1.4064648420092514,93.0,179.20837878502914
FireBattln,35.639072207325064,35.64589837138451,0.4184054370288021,10.0,35.64589837138451
FireDivsn,10.398564296809568,10.400534095610636,0.12073757985313878,3.0,10.400534095610636
PolicePcnt,82.6172540211019,82.63419152217249,1.0381734859994969,19.0,82.63419152217249
PL_FIRM07,1.0,1.0,0.0,1.0,1.0
PL_PFIRM15,1.0,1.0,0.0,1.0,1.0
Country Code,,,,,
Unnamed: 5,,,,,
Unnamed: 4,,,,,
hours_used,8.786584615384614,8.786584615384616,1.7765932928907356e-15,8.786584615384616,8.786584615384616
hourly_cost_estimated,148.99,148.99,0.0,148.99,148.99
cost_estimated,1281.4900000000002,1281.49,2.2740394149001415e-13,1281.49,1281.49
quantity,8.985358500000002,8.9853585,1.7765932928907356e-15,8.9853585,8.9853585
unit_price_estimated,359.23306000000014,359.23306,1.1370197074500708e-13,359.23306,359.23306
total_cost_estimated,696.0550000000002,696.0550000000001,1.1370197074500708e-13,696.0550000000001,696.0550000000001
