ID,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),source_file,synthetic_flag,Reported,Fiscal_Year,Borough,Award,Council_District,Sponsor,Title,Description,Budget_Line,BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Job_Number,Job_Type,ResidFlag,NonresFlag,Job_Status,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,HotelInit,HotelProp,OtherBInit,OtherBProp,Units_CO,Boro,AddressNum,AddressSt,Occ_Init,Occ_Prop,Bldg_Class,Job_Desc,DateFiled,DatePermit,DateLstUpd,DateComplt,ZoningDst1,ZoningDst2,ZoningDst3,SpeclDst1,SpeclDst2,Landmark,FloorsInit,FloorsProp,Enlargemnt,Ownership,CenBlock20,CenTract20,BCTCB2020,BCT2020,NTA2020,NTAName20,CDTA2020,CDTAName20,CommntyDst,CouncilDst,SchSubDist,SchCommnty,SchElmntry,SchMiddle,FireCmpany,FireBattln,FireDivsn,PolicePcnt,PL_FIRM07,PL_PFIRM15,GeomSource,DCPEdited,Version,Country Code,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION,Unnamed: 4, (),project_id,date,equipment,hours_used,hourly_cost_estimated,cost_estimated,maintenance_flag,is_synthetic,source,material,quantity,unit,unit_price_estimated,total_cost_estimated,will_delay
--RENOVATE A MALE AND FEMALE BATHROOM FOR NYC DISTRICT 75 STUDENTS WHO REQUIRE STAFF ASSISTANCE FOR TOILETING.,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,"HIGH SCHOOL (M535/M542)""",,FY20,172000.0,25.0,,,,170000,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG CN001,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2020,FY20,M,200000.0,10.0,Rodriguez,DEPARTMENT OF AGING - KITCHEN FOR ARC XVI FORT WASHINGTON SENIOR CENTER,BUILDING OR RENOVATING KITCHEN,AG D001,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG CN002,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2019,FY19,X,250000.0,16.0,Gibson,VOLUNTEERS OF AMERICA,CLARKE PLACE SENIOR RESIDENCE PROJECT,HD D024,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG CN003,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2021,FY21,K,1260000.0,38.0,Menchaca,PB: -RED HOOK SENIOR CENTER,FUNDING FOR SENIOR CENTER,AG D001,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG CN004,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2021,FY21,X,850000.0,9800.0,"Women's Caucus, Speaker","MID-BRONX SENIOR CITIZENS COUNCIL, INC.","FUNDING WILL COMPLETE FACADE IMPROVEMENTS AND REMOVE THE SCAFFOLD FROM 900 GRAND CONCOURSE AND FACADE IMPROVEMENTS FOR 1020 SUMMIT AVE, AN AFFORDABLE HOUSING UNIT FOR FAMILIES WITH A DAYCARE ON THE BASEMENT LEVEL.",HD D024,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG CN0584,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2026,FY26,Q,100000.0,26.0,Won,NYCHA WOODSIDE SENIOR CENTER TECHNOLOGY UPGRADE,TECHNOLOGY UPGRADE,AG D001,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG NC001,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2021,FY21,M,250000.0,6.0,Rosenthal,FIND AID FOR THE AGED INC.,FUNDING FOR FACILITY RENOVATION,HD D021,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG NC002,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2020,FY20,Q,500000.0,24.0,Lancman,INDIA HOME - PURCHASE A NEW PROPERTY,FUNDING FOR PROPERTY ACQUISTION FOR INDIA HOME,AG DN663,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG NC003,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2022,FY22,K,600000.0,45.0,Louis,COUNCIL OF PEOPLE'S ORGANIZATIONSINC.,FUNDS WILL BE USED FOR REAL PROPERTY ACQUISITION,HR DN01J,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
AG NC004,17.42242264261622,,,,,,,,,,,142259.0,6360.0,,City_Council_Capital_Budget.csv,False,2022,FY22,K,1560000.0,459800.0,"Louis, Women's Caucus, Speaker",COUNCIL OF PEOPLE'S ORGANIZATIONINC.,FUNDS WILL BE USED FOR REAL PROPERTY ACQUISITION,HR DN01J,3448664.818756282,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.6970379089918,-73.93268326748634,230.39596700274976,19.904674610449128,3306498690.5329523,268.0,,,345812433.36122185,,,,,2016.963492937076,2014.9470979110836,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,,,,,,,,,,,,,,,,,2.0,3.0,,,360611254949875.0,36061125494.77512,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,,,,,,,,,,,,,,,,8.786584615384616,148.99,1281.49,Unknown,Unknown,,,8.9853585,,359.23306,696.0550000000001,0.0
