source_file,Budget_Line,maintenance_flag,is_synthetic
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D021,Unknown,Unknown
City_Council_Capital_Budget.csv,PV D022,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,PV DN409,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D022,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,TF D005,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,PV D235,Unknown,Unknown
City_Council_Capital_Budget.csv,P D020,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HN D002,Unknown,Unknown
City_Council_Capital_Budget.csv,LB D104,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,LN D008,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,AG DN663,Unknown,Unknown
City_Council_Capital_Budget.csv,HA D001,Unknown,Unknown
City_Council_Capital_Budget.csv,P  D822,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,F  D175,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN561,Unknown,Unknown
City_Council_Capital_Budget.csv,P  D019,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,PW DN03V,Unknown,Unknown
City_Council_Capital_Budget.csv,PW DN586,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN881,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN908,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D024,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,PW DN325,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN346,Unknown,Unknown
City_Council_Capital_Budget.csv,CS DN442,Unknown,Unknown
City_Council_Capital_Budget.csv,PW DN237,Unknown,Unknown
City_Council_Capital_Budget.csv,HN D300,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,PV DN290,Unknown,Unknown
City_Council_Capital_Budget.csv,HW D101,Unknown,Unknown
City_Council_Capital_Budget.csv,P  D933,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D003,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN561,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D020,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN273,Unknown,Unknown
City_Council_Capital_Budget.csv,HW D102,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HN D300,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN254,Unknown,Unknown
City_Council_Capital_Budget.csv,P  D019,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D020,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,TF D005,Unknown,Unknown
City_Council_Capital_Budget.csv,HL DN164,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HN D300,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HH DN336,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,E D001,Unknown,Unknown
City_Council_Capital_Budget.csv,CS DN312,Unknown,Unknown
City_Council_Capital_Budget.csv,E  D001,Unknown,Unknown
City_Council_Capital_Budget.csv,HD D024,Unknown,Unknown
City_Council_Capital_Budget.csv,TF D005,Unknown,Unknown
