imputed_projects_count: 47
project_id, parsed_actual_start_candidates_count, actual_start, actual_end, planned_start, planned_end, planned_duration_days, elapsed_days, delay_days, diff_actualstart_plannedstart_days, diff_actualstart_plannedend_days
august martin hs - queens,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
boys & girls hs - brooklyn,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
city-as-school - manhattan,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
fort hamilton hs - k,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
hostos-lincoln academy of science,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
i.s. 109 - queens,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
i.s. 210 - queens,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
i.s. 391 - bronx,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
innovation diploma plus,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
mid-man adult learning center - m,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
murray hill academy hs - m,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
new millennium bronx academy of the arts - bronx,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
p.s. / i.s. 270 - queens,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
p.s. 105 - bronx,0,2016-07-01 00:00:00,2016-07-01 00:00:00,2014-07-01 00:00:00,2014-07-01 00:00:00,0.0,0.0,nan,731,731
