project_id,planned_start,planned_end,actual_start,actual_end,planned_window_valid,actual_start_present,actual_end_present,actual_end_is_year_only,actual_end_is_full_date,can_compute_delay,planned_duration_days,elapsed_days,delay_days
Unknown,1998-07-01,2029-11-01,1998-08-07,2025-09-30,True,True,True,False,True,False,11446.0,9916.0,-1530.0
august martin hs - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
boys & girls hs - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
city-as-school - manhattan,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
fort hamilton hs - k,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
hostos-lincoln academy of science,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
i.s. 109 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
i.s. 210 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
i.s. 391 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
innovation diploma plus,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
mid-man adult learning center - m,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
murray hill academy hs - m,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
new millennium bronx academy of the arts - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. / i.s. 270 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 105 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 109 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 128 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 138 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 152 - manhattan,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 157 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 171 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 199 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 2 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 205 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 206 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 209 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 209 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 215 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 222 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 226 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 239 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 279 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 28 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 28 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 282 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 31 - staten island,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 329 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 4 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 52 - staten island,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 55 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 56 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 76 - bronx,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 84 - brooklyn,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 87 - manhattan,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
p.s. 97 - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
q993 sped - queens,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
quest to learn - manhattan,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
the flushing international hs - q,2014-07-01,2014-07-01,,2016-07-01,False,False,True,True,False,False,,,
