project_id,planned_start,planned_end,actual_start,actual_end,actual_start_imputed,imputation_rule
Unknown,1998-07-01,2029-11-01,2024-09-30T00:00:00,2025-09-30,True,RuleB
august martin hs - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
boys & girls hs - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
city-as-school - manhattan,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
fort hamilton hs - k,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
hostos-lincoln academy of science,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
i.s. 109 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
i.s. 210 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
i.s. 391 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
innovation diploma plus,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
mid-man adult learning center - m,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
murray hill academy hs - m,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
new millennium bronx academy of the arts - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. / i.s. 270 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 105 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 109 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 128 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 138 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 152 - manhattan,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 157 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 171 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 199 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 2 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 205 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 206 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 209 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 209 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 215 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 222 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 226 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 239 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 279 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 28 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 28 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 282 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 31 - staten island,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 329 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 4 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 52 - staten island,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 55 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 56 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 76 - bronx,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 84 - brooklyn,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 87 - manhattan,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
p.s. 97 - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
q993 sped - queens,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
quest to learn - manhattan,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
the flushing international hs - q,2014-07-01,2014-07-01,2015-07-02T00:00:00,2016-07-01,True,RuleB
